"","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15","h16","h17","h18","h19","h20","h21","h22","h23","h24","h25","h26","h27","h28","h29","h30","h31","h32","h33","h34","h35","h36","h37","h38","h39","h40","h41","h42","h43","h44","h45","h46","h47","h48","h49","h50","h51","h52","h53","h54","h55","h56","h57","h58","h59","h60","h61","h62","h63","h64","h65","h66","h67","h68","h69","h70","h71","h72","h73","h74","h75","h76","h77","h78","h79","h80","h81","h82","h83","h84","h85","h86","h87","h88","h89","h90","h91","h92","h93","h94","h95","h96","h97","h98","h99","h100","h101","h102","h103","h104","h105","h106","h107","h108","h109","h110","h111","h112","h113","h114","h115","h116","h117","h118","h119","h120","h121","h122","h123","h124","h125","h126","h127","h128","h129","h130","h131","h132","h133","h134","h135","h136","h137","h138","h139","h140","h141","h142","h143","h144","h145","h146","h147","h148","h149","h150","h151","h152","h153","h154","h155","h156","h157","h158","h159","h160","h161","h162","h163","h164","h165","h166","h167","h168","h169","h170","h171","h172","h173","h174"
"g1",0.796598,1,1,1,0.194488,0.200744,0.21255,0.342775,1,1,0.229434,0.214552,0.755729,0.801726,1,0.775228,0.74093,0.188939,0.807556,0.326745,0.194488,0.194488,0.783578,0.294356,0.21255,1,1,0.207993,1,0.193057,0.194488,0.194488,1,1,1,1,1,1,1,1,1,1,0.388899,0.185089,1,0.302057,1,1,1,1,0.194488,1,1,1,0.135209,0.132465,1,0.776493,1,0.239199,1,1,0.21255,1,1,1,1,0.239199,1,0.796161,0.81306,0.13851,0.194488,0.733698,1,1,1,1,1,1,0.545264,0.799653,1,1,1,0.0796803,0.188939,1,0.819672,0.345138,1,1,0.22364,1,1,0.366211,1,1,1,1,0.194488,0.352896,0.194488,0.248261,1,0.292018,0.194488,1,0.159521,0.188939,1,1,1,1,0.157497,0.296797,0.194488,0.194488,1,0.375259,0.372404,0.21639,0.188939,0.194488,0.194488,0.79546,0.185089,0.21255,0.21639,0.222866,0.0892567,0.147565,1,0.326745,0.232727,0.208928,0.194488,0.13851,1,1,1,0.188939,0.736637,1,0.182291,0.0777515,1,1,1,0.294834,1,0.21639,0.188939,1,0.194488,0.239587,0.300107,1,1,0.194488,0.194488,0.188939,1,1,1,1,1,1,0.188939,1,0.540507,1,0.200744,0.21639
"g2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"g3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"g4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"g5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"g6",0.871383,1,1,1,0.114861,0.148515,0.103319,0.447779,1,1,0.405277,0.392846,0.71455,0.859973,1,0.843513,0.814185,0.10323,0.886612,0.167968,0.114861,0.114861,0.850481,0.188671,0.103319,1,1,0.194517,1,0.212233,0.114861,0.114861,1,1,1,1,1,1,1,1,1,1,0.176365,0.11355,1,0.424981,1,1,1,1,0.114861,1,1,1,0.225836,0.206527,1,0.845146,1,0.23546,1,1,0.103319,1,1,1,1,0.23546,1,0.854121,0.871224,0.190937,0.114861,0.790506,1,1,1,1,1,1,0.65943,0.872894,1,1,1,0.313602,0.10323,1,0.896047,0.524351,1,1,0.194761,1,1,0.485002,1,1,1,1,0.114861,0.19524,0.114861,0.21705,1,0.221948,0.114861,1,0.209297,0.10323,1,1,1,1,0.151322,0.277693,0.114861,0.114861,1,0.112876,0.180203,0.0960137,0.10323,0.114861,0.114861,0.851636,0.11355,0.103319,0.0852788,0.224882,0.320053,0.172164,1,0.167968,0.202231,0.213161,0.114861,0.190937,1,1,1,0.10323,0.799238,1,0.118942,0.315888,1,1,1,0.411145,1,0.0852788,0.10323,1,0.114861,0.0768759,0.420941,1,1,0.114861,0.114861,0.10323,1,1,1,1,1,1,0.10323,1,0.677474,1,0.148515,0.0960137
"g7",0.919388,1,1,1,0,0.0915827,0.0180614,0.46767,1,1,0.357231,0.345624,0.757678,0.918945,1,0.899435,0.864687,0.0116308,0.932384,0.2313,0,0,0.907142,0.199989,0.0180614,1,1,0.133086,1,0.172183,0,0,1,1,1,1,1,1,1,1,1,1,0.251747,0.0219506,1,0.429822,1,1,1,1,0,1,1,1,0.129738,0.112514,1,0.899834,1,0.173464,1,1,0.0180614,1,1,1,1,0.173464,1,0.894468,0.919347,0.0956463,0,0.857742,1,1,1,1,1,1,0.667117,0.922773,1,1,1,0.216187,0.0116308,1,0.942921,0.465218,1,1,0.218049,1,1,0.488483,1,1,1,1,0,0.231615,0,0.178779,1,0.20563,0,1,0.112633,0.0116308,1,1,1,1,0.0597222,0.29596,0,0,1,0.197951,0.219063,0.0390819,0.0116308,0,0,0.898657,0.0219506,0.0180614,0.0390819,0.163451,0.222372,0.0781509,1,0.2313,0.140235,0.152538,0,0.0956463,1,1,1,0.0116308,0.857582,1,0.0249287,0.217986,1,1,1,0.422554,1,0.0390819,0.0116308,1,0,0.0450984,0.42935,1,1,0,0,0.0116308,1,1,1,1,1,1,0.0116308,1,0.658626,1,0.0915827,0.0390819
"g8",0.878224,1,1,1,0.123253,0.147476,0.105192,0.395194,1,1,0.291652,0.279214,0.774453,0.866468,1,0.856446,0.815927,0.115314,0.890756,0.224985,0.123253,0.123253,0.859085,0.192935,0.105192,1,1,0.175944,1,0.0875266,0.123253,0.123253,1,1,1,1,1,1,1,1,1,1,0.219863,0.104994,1,0.37772,1,1,1,1,0.123253,1,1,1,0.192685,0.142355,1,0.854439,1,0.200009,1,1,0.105192,1,1,1,1,0.200009,1,0.840131,0.86227,0.101645,0.123253,0.807971,1,1,1,1,1,1,0.615045,0.876842,1,1,1,0.231813,0.115314,1,0.899955,0.479028,1,1,0.213114,1,1,0.434465,1,1,1,1,0.123253,0.233593,0.123253,0.180209,1,0.135044,0.123253,1,0.141227,0.115314,1,1,1,1,0.124088,0.297543,0.123253,0.123253,1,0.25011,0.218452,0.129904,0.115314,0.123253,0.123253,0.845254,0.104994,0.105192,0.090843,0.210191,0.238668,0.119281,1,0.224985,0.197488,0.157244,0.123253,0.101645,1,1,1,0.115314,0.814277,1,0.103625,0.237137,1,1,1,0.371178,1,0.090843,0.115314,1,0.123253,0.135534,0.354098,1,1,0.123253,0.123253,0.115314,1,1,1,1,1,1,0.115314,1,0.597198,1,0.147476,0.129904
"g9",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"g10",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
