"h1",9,42,22,14,88,157,40,21,11,59,75,39,41,13,11,82,270,215,63,134,131,190,12,7,153,96,180,45,179,126,77,33,47,36,12,6,16,36,23,47,70,15,26,57,1,48,59,107,48,0,0,40,9,26,18,0,48,52,27,76,51,8,4,4,5,56,38,9,15,0,19,9,3
"h2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"h3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"h4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"h5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"h6",2,1,0,1,3,0,0,0,0,0,1,0,0,0,0,15,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"h7",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"h8",3,9,2,1,45,10,6,0,1,7,6,1,0,0,0,159,44,10,45,47,6,0,1,0,43,4,5,67,4,29,2,3,3,0,1,9,5,3,0,3,0,0,0,7,0,20,0,0,0,0,0,3,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"h9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"h10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"h11",2,13,1,0,50,11,24,0,1,18,0,0,0,0,0,127,39,23,43,145,18,0,17,0,79,0,0,61,13,0,0,32,0,0,1,14,2,6,0,23,0,0,0,0,0,44,0,0,0,0,0,5,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"h12",2,11,1,0,43,9,18,0,1,19,0,0,0,0,0,113,37,8,31,109,13,0,13,0,86,0,0,54,15,0,0,32,0,0,0,13,1,5,0,23,0,0,0,0,0,44,0,0,0,0,0,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"h13",14,22,39,52,21,127,15,25,4,0,113,133,19,127,79,22,128,88,9,31,82,111,4,3,0,48,277,5,0,99,235,0,58,53,0,2,6,11,12,0,44,88,121,0,63,0,15,56,319,0,0,0,2,19,0,36,0,188,99,0,81,154,0,3,6,0,48,258,5,17,10,138,59
"h14",10,34,12,33,55,72,35,4,7,17,128,20,46,44,52,75,93,89,36,97,69,28,15,0,46,98,54,9,27,182,64,27,78,4,5,2,11,31,8,5,113,37,10,40,2,5,56,23,154,0,0,15,10,21,12,10,3,195,9,41,101,10,1,3,8,14,107,57,13,2,36,63,43
"h15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"h16",8,40,14,14,72,95,54,8,6,61,81,23,46,14,11,112,146,67,40,163,113,64,24,1,107,89,121,33,123,97,18,71,61,9,13,11,7,27,8,63,137,22,18,75,0,22,44,72,57,0,0,23,11,8,20,0,46,51,13,88,60,5,2,3,2,57,45,12,12,0,24,9,3
"h17",8,35,6,22,82,44,39,1,5,37,95,9,48,15,31,128,83,60,67,131,51,7,16,0,121,57,27,27,27,188,39,49,63,0,10,10,7,19,2,24,114,18,3,63,0,29,76,13,56,0,0,20,11,12,13,2,17,102,7,75,47,0,2,3,1,35,93,18,9,0,38,15,25
"h18",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"h19",10,40,27,18,86,160,30,31,14,51,84,50,44,23,16,66,290,169,65,106,96,220,2,16,116,98,202,49,170,139,67,29,46,48,6,2,22,40,41,35,48,23,53,58,2,43,78,117,96,0,0,46,9,26,20,4,38,69,34,69,66,7,4,9,6,54,43,24,21,0,25,17,5
"h20",4,2,4,2,4,3,0,1,0,0,3,2,0,1,0,12,8,0,6,0,0,1,0,0,0,1,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"h21",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"h22",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
