"","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15","h16","h17","h18","h19","h20","h21","h22","h23","h24","h25","h26","h27","h28","h29","h30","h31","h32","h33","h34","h35","h36","h37","h38","h39","h40","h41","h42","h43","h44","h45","h46","h47","h48","h49","h50","h51","h52","h53","h54","h55","h56","h57","h58","h59","h60","h61","h62","h63","h64","h65","h66","h67","h68","h69","h70","h71","h72","h73","h74","h75","h76","h77","h78","h79","h80","h81","h82","h83","h84","h85","h86","h87","h88","h89","h90","h91","h92","h93","h94","h95","h96","h97","h98","h99","h100","h101","h102","h103","h104","h105","h106","h107","h108","h109","h110","h111","h112","h113","h114","h115","h116","h117","h118","h119","h120","h121","h122","h123","h124","h125","h126","h127","h128","h129","h130","h131","h132","h133","h134","h135","h136","h137","h138","h139","h140","h141","h142","h143","h144","h145","h146","h147","h148","h149","h150","h151","h152","h153","h154","h155","h156","h157","h158","h159","h160","h161","h162","h163","h164","h165","h166","h167","h168","h169","h170","h171","h172","h173","h174"
"g64",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"g65",0.94699,1,1,1,0.410837,0.45807,0.4,0.671748,1,1,0.603502,0.596537,0.850613,0.946309,1,0.934573,0.912802,0.417815,0.955001,0.531516,0.410837,0.410837,0.939426,0.51114,0.4,1,1,0.482972,1,0.492473,0.410837,0.410837,1,1,1,1,1,1,1,1,1,1,0.543784,0.424007,1,0.652059,1,1,1,1,0.410837,1,1,1,0.488679,0.478346,1,0.934904,1,0.507198,1,1,0.4,1,1,1,1,0.507198,1,0.932905,0.947228,0.468225,0.410837,0.909662,1,1,1,1,1,1,0.793072,0.949031,1,1,1,0.540549,0.417815,1,0.961247,0.683124,1,1,0.521976,1,1,0.684236,1,1,1,1,0.410837,0.53122,0.410837,0.496965,1,0.513076,0.410837,1,0.478417,0.417815,1,1,1,1,0.44667,0.568722,0.410837,0.410837,1,0.513293,0.523689,0.426569,0.417815,0.410837,0.410837,0.93489,0.424007,0.4,0.412612,0.501191,0.54426,0.457727,1,0.531516,0.487261,0.494643,0.410837,0.468225,1,1,1,0.417815,0.909284,1,0.425794,0.541629,1,1,1,0.64686,1,0.412612,0.417815,1,0.410837,0.418205,0.648756,1,1,0.410837,0.410837,0.417815,1,1,1,1,1,1,0.417815,1,0.785212,1,0.45807,0.426569
"g66",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"g67",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"g68",0.949607,1,1,1,0.406978,0.447971,0.417815,0.677405,1,1,0.611508,0.604385,0.852195,0.949227,1,0.93761,0.916689,0.4,0.957379,0.53325,0.406978,0.406978,0.942073,0.515715,0.417815,1,1,0.475573,1,0.498546,0.406978,0.406978,1,1,1,1,1,1,1,1,1,1,0.546769,0.406192,1,0.655128,1,1,1,1,0.406978,1,1,1,0.473564,0.461978,1,0.937849,1,0.500138,1,1,0.417815,1,1,1,1,0.500138,1,0.934121,0.949354,0.452624,0.406978,0.912319,1,1,1,1,1,1,0.798058,0.951571,1,1,1,0.526223,0.4,1,0.963714,0.67683,1,1,0.526066,1,1,0.690609,1,1,1,1,0.406978,0.534205,0.406978,0.502504,1,0.518614,0.406978,1,0.46364,0.4,1,1,1,1,0.428855,0.574247,0.406978,0.406978,1,0.511792,0.526674,0.416471,0.4,0.406978,0.406978,0.937055,0.406192,0.417815,0.416471,0.493792,0.530094,0.44136,1,0.53325,0.480201,0.486759,0.406978,0.452624,1,1,1,0.4,0.912393,1,0.409427,0.527595,1,1,1,0.650929,1,0.416471,0.4,1,0.406978,0.434038,0.654121,1,1,0.406978,0.406978,0.4,1,1,1,1,1,1,0.4,1,0.792943,1,0.447971,0.416471
"g69",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"g70",0.74669,1,1,1,0.779592,0.77658,0.774534,0.777721,1,1,0.842679,0.833358,0.645951,0.688925,1,0.730349,0.715793,0.776506,0.739513,0.731876,0.779592,0.779592,0.689887,0.735641,0.774534,1,1,0.748901,1,0.757323,0.779592,0.779592,1,1,1,1,1,1,1,1,1,1,0.685683,0.771599,1,0.836764,1,1,1,1,0.779592,1,1,1,0.806719,0.809796,1,0.716524,1,0.745891,1,1,0.774534,1,1,1,1,0.745891,1,0.286357,0.701822,0.774207,0.779592,0.671316,1,1,1,1,1,1,0.73367,0.725269,1,1,1,0.848816,0.776506,1,0.734706,0.816421,1,1,0.771728,1,1,0.796324,1,1,1,1,0.779592,0.701347,0.779592,0.727216,1,0.747806,0.779592,1,0.78265,0.776506,1,1,1,1,0.790885,0.754119,0.779592,0.779592,1,0.72784,0.711793,0.770615,0.776506,0.779592,0.779592,0.698325,0.771599,0.774534,0.769383,0.747008,0.853308,0.786648,1,0.731876,0.757351,0.781468,0.779592,0.774207,1,1,1,0.776506,0.755173,1,0.76851,0.849829,1,1,1,0.834876,1,0.769383,0.776506,1,0.779592,0.767251,0.770863,1,1,0.779592,0.779592,0.776506,1,1,1,1,1,1,0.776506,1,0.782022,1,0.77658,0.770615
"g71",0.69158,1,1,1,0.807136,0.804364,0.80182,0.766302,1,1,0.827912,0.819902,0.675432,0.6656,1,0.676135,0.653296,0.804533,0.701245,0.754085,0.807136,0.807136,0.653907,0.749828,0.80182,1,1,0.779002,1,0.789804,0.807136,0.807136,1,1,1,1,1,1,1,1,1,1,0.722237,0.801261,1,0.819755,1,1,1,1,0.807136,1,1,1,0.822989,0.836402,1,0.669563,1,0.766664,1,1,0.80182,1,1,1,1,0.766664,1,0.667011,0.669713,0.805796,0.807136,0.63813,1,1,1,1,1,1,0.67886,0.67784,1,1,1,0.84834,0.804533,1,0.705838,0.771118,1,1,0.792872,1,1,0.759404,1,1,1,1,0.807136,0.744795,0.807136,0.753894,1,0.771985,0.807136,1,0.789579,0.804533,1,1,1,1,0.818391,0.773662,0.807136,0.807136,1,0.763531,0.745764,0.798513,0.804533,0.807136,0.807136,0.671747,0.801261,0.80182,0.797269,0.770795,0.855225,0.814735,1,0.754085,0.770858,0.80256,0.807136,0.805796,1,1,1,0.804533,0.679618,1,0.799213,0.851756,1,1,1,0.817837,1,0.797269,0.804533,1,0.807136,0.794294,0.766914,1,1,0.807136,0.807136,0.804533,1,1,1,1,1,1,0.804533,1,0.715051,1,0.804364,0.798513
"g72",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"g73",0.937776,1,1,1,0.432323,0.433137,0.44316,0.66484,1,1,0.598885,0.591033,0.834459,0.936142,1,0.925182,0.90512,0.425345,0.945426,0.513932,0.432323,0.432323,0.930255,0.541059,0.44316,1,1,0.474532,1,0.498966,0.432323,0.432323,1,1,1,1,1,1,1,1,1,1,0.562426,0.421849,1,0.643114,1,1,1,1,0.432323,1,1,1,0.45695,0.447467,1,0.925474,1,0.515795,1,1,0.44316,1,1,1,1,0.515795,1,0.920764,0.934965,0.450051,0.432323,0.900792,1,1,1,1,1,1,0.786486,0.939214,1,1,1,0.513323,0.425345,1,0.950002,0.665019,1,1,0.509913,1,1,0.677503,1,1,1,1,0.432323,0.549862,0.432323,0.518161,1,0.507218,0.432323,1,0.479297,0.425345,1,1,1,1,0.415247,0.557263,0.432323,0.432323,1,0.537137,0.542331,0.441815,0.425345,0.432323,0.432323,0.919471,0.421849,0.44316,0.441815,0.501064,0.516967,0.435968,1,0.513932,0.505546,0.472734,0.432323,0.450051,1,1,1,0.425345,0.901204,1,0.434772,0.514017,1,1,1,0.638405,1,0.441815,0.425345,1,0.432323,0.459382,0.641454,1,1,0.432323,0.432323,0.425345,1,1,1,1,1,1,0.425345,1,0.781435,1,0.433137,0.441815
